Table 1: Code Frequency by Participant Type;;;;;Table 3: Code Frequency by Sport;;;;;;Table 4: Code Saturation Analysis;;;;;;;;;;;;;;;;;;;;
Code;Athlete;Coach;Total;;Code;Football;Basketball;Total;;;code;instances;unique_participants;unique_teams;pct_participants;pct_teams;;;;;;;;;;;;;;;
trust_safety;103;28;131;;trust_safety;101;30;131;;;trust_safety;131;48;8;100,0;100,0;;;;;;;;;;;;;;;
positive_acceptance;79;31;110;;positive_acceptance;86;23;109;;;positive_acceptance;110;45;8;93,8;100,0;;;;;;;;;;;;;;;
positive_circulation_response;70;19;89;;positive_circulation_response;71;18;89;;;positive_circulation_response;89;46;8;95,8;100,0;;;;;;;;;;;;;;;
equipment_preference;77;9;86;;equipment_preference;68;18;86;;;equipment_preference;86;47;8;97,9;100,0;;;;;;;;;;;;;;;
motivation_reward;56;19;75;;social_comfort_broad;60;13;73;;;motivation_reward;75;44;8;91,7;100,0;;;;;;;;;;;;;;;
social_comfort_broad;63;10;73;;motivation_reward;58;17;75;;;social_comfort_broad;73;42;8;87,5;100,0;;;;;;;;;;;;;;;
cost_access_barrier;39;22;61;;cost_access_barrier;50;11;61;;;app_preference;61;42;8;87,5;100,0;;;;;;;;;;;;;;;
app_preference;43;18;61;;app_preference;49;12;61;;;cost_access_barrier;61;35;8;72,9;100,0;;;;;;;;;;;;;;;
practical_system;42;19;61;;practical_system;42;18;60;;;practical_system;61;45;8;93,8;100,0;;;;;;;;;;;;;;;
community_support;36;21;57;;community_support;44;13;57;;;community_support;57;34;8;70,8;100,0;;;;;;;;;;;;;;;
inclusion_retention;14;10;24;;inclusion_retention;20;4;24;;;fairness_reciprocity;42;32;7;66,7;87,5;;;;;;;;;;;;;;;
fairness_reciprocity;40;2;42;;social_comfort_team;34;7;41;;;social_comfort_team;41;28;8;58,3;100,0;;;;;;;;;;;;;;;
social_comfort_team;26;15;41;;fairness_reciprocity;33;9;42;;;face_to_face_preference;33;29;7;60,4;87,5;;;;;;;;;;;;;;;
face_to_face_preference;33;0;33;;face_to_face_preference;26;7;33;;;negative_response;29;24;7;50,0;87,5;;;;;;;;;;;;;;;
negative_response;19;10;29;;negative_response;26;3;29;;;hygiene_quality_concern;25;22;7;45,8;87,5;;;;;;;;;;;;;;;
hygiene_quality_concern;17;8;25;;hygiene_quality_concern;22;3;25;;;inclusion_retention;24;21;8;43,8;100,0;;;;;;;;;;;;;;;
skeptical_response;9;15;24;;skeptical_response;14;10;24;;;skeptical_response;24;17;8;35,4;100,0;;;;;;;;;;;;;;;
