participant_id;session_id;team_name;sport;question_key;response_text;code_1;;;Table 1: Code_1 Occurrences;;;Table 2: Code_1 Occurrences by Question Key;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q1_Athlete;I think it would be good. Yeah, great.;positive_acceptance;;;Code (20);Count;;Code;Q1_Athlete;Q2_Athlete;Q3_Athlete;Q4_Athlete;Q5_Athlete;Q6_Athlete;Q7_Athlete;Q8_Athlete;Q9_Athlete;Q10_Athlete;Q11_Athlete;Q12_Athlete;Q13_Athlete;Athlete Total;Q1_Coach;Q2_Coach;Q3_Coach;Q4_Coach;Q5_Coach;Q6_Coach;Q7_Coach;Q8_Coach;Q9_Coach;Q10_Coach;Q11_Coach;Q12_Coach;Q13_Coach;Q14_Coach;Q15_Coach;Q16_Coach;Coach Total;Grand Total
T1_A01;T1;Uppsala Sirius U15;Football;Q2_Athlete;Yes, I think it's a motivation because it's kind of exciting, you have something you can, what do you call it, save up for. And I think it's a great way to keep players motivated and to answer the questions.;motivation_reward;;;trust_safety;131;;trust_safety;0;0;21;0;0;2;22;39;2;1;7;1;8;103;0;0;6;0;4;1;0;2;1;0;8;3;0;2;0;1;28;131
T1_A01;T1;Uppsala Sirius U15;Football;Q3_Athlete;Yeah, I think it would be alright.;positive_acceptance;;;positive_acceptance;110;;positive_acceptance;28;8;15;0;0;1;1;7;1;0;0;17;1;79;0;1;1;0;0;2;5;5;1;1;1;1;4;4;2;2;30;109
T1_A01;T1;Uppsala Sirius U15;Football;Q4_Athlete;Anything that, yeah, probably anything like football shoes, chin pads, t-shirts, hoodies, and just training equipment overall.;equipment_preference;;;positive_circulation_response;89;;positive_circulation_response;0;0;19;6;6;0;0;0;2;37;0;0;0;70;0;0;0;0;4;5;0;0;1;0;0;1;5;2;0;1;19;89
T1_A01;T1;Uppsala Sirius U15;Football;Q5_Athlete;Like probably chin pads, if it's not a too worn apart football boot, it could be, what do you call it, goalie gloves, it could be anything like that.;"motivation_reward; hygiene_quality_concern; equipment_preference";;;equipment_preference;86;;equipment_preference;0;0;2;38;37;0;0;0;0;0;0;0;0;77;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;9;86
T1_A01;T1;Uppsala Sirius U15;Football;Q6_Athlete;prefer through app Yes, that would be much more comfortable.;"app_preference; face_to_face_preference";;;motivation_reward;75;;motivation_reward;9;31;1;1;1;0;10;0;2;0;0;1;0;56;0;0;2;0;0;0;1;2;8;4;0;0;0;0;1;1;19;75
T1_A01;T1;Uppsala Sirius U15;Football;Q7_Athlete;Yeah, it'd probably feel a little weird, but I think for me it wouldn't be such a big deal. It could feel weird sometimes, but I think it's good.;positive_acceptance;;;social_comfort_broad;73;;social_comfort_broad;0;0;3;0;0;1;21;30;1;0;6;1;0;63;0;0;1;0;1;2;0;1;0;0;1;3;0;0;0;1;10;73
T1_A01;T1;Uppsala Sirius U15;Football;Q8_Athlete;Yes. ill be comfortable exchanging the goods with different people;"social_comfort_broad; trust_safety";;;cost_access_barrier;61;;cost_access_barrier;3;4;2;0;0;0;2;0;1;0;12;15;0;39;2;9;0;0;5;0;0;0;0;0;0;0;3;0;1;2;22;61
T1_A01;T1;Uppsala Sirius U15;Football;Q9_Athlete;I wouldn't care that much, but I think it's great that everybody has put in effort to it, but some people can't and can't just give away and don't have that kind of, what do you call it, they just can't. So I think I respect it either way.;"social_comfort_broad; positive_circulation_response; trust_safety";;;app_preference;61;;app_preference;5;1;0;0;0;32;2;1;0;0;0;1;1;43;0;0;0;0;0;0;5;2;1;0;0;0;4;2;0;4;18;61
T1_A01;T1;Uppsala Sirius U15;Football;Q10_Athlete;Yes, I have. I've given away chin pads one time, and I've given away a couple of football shoes to my younger cousins.;positive_circulation_response;;;practical_system;61;;practical_system;1;0;0;0;0;0;0;0;2;0;0;2;37;42;0;1;0;0;0;0;1;0;3;0;0;1;1;5;1;5;18;60
T1_A01;T1;Uppsala Sirius U15;Football;Q11_Athlete;Not that no one, the guy hasn't told me, but I think I have a thought that I think that was the reason because he left football because it wasn't probably great at home and stuff like that, and they didn't have the economy.;"cost_access_barrier; no_inclusion_retention";;;community_support;57;;community_support;0;0;3;2;2;0;1;1;14;1;1;10;1;36;0;2;3;0;2;2;4;1;0;1;2;0;0;0;4;0;21;57
