participant_id;session_id;team_name;sport;question_key;code_1;code_2;;code_2 Frequency Table;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q1_Athlete;positive_acceptance;circular_exchange_engagement;;Code (6);Count;% of Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q2_Athlete;motivation_reward;incentive_governance;;circular_exchange_engagement;326;39,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q3_Athlete;positive_acceptance;circular_exchange_engagement;;equity_and_retention;157;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q4_Athlete;equipment_preference;circular_exchange_engagement;;trust_negotiation;139;16,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q5_Athlete;"motivation_reward; hygiene_quality_concern; equipment_preference";"incentive_governance; circular_exchange_engagement";;incentive_governance;80;9,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q6_Athlete;"app_preference; face_to_face_preference";exchange_modality_preference;;exchange_modality_preference;70;8,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q7_Athlete;positive_acceptance;circular_exchange_engagement;;evaluative_stance;53;6,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q8_Athlete;"social_comfort_broad; trust_safety";trust_negotiation;;TOTAL;825;100,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q9_Athlete;"social_comfort_broad; positive_circulation_response; trust_safety";"trust_negotiation; circular_exchange_engagement";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q10_Athlete;positive_circulation_response;circular_exchange_engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q11_Athlete;"cost_access_barrier; no_inclusion_retention";equity_and_retention;;Table 2: code_2 Occurrences by Question Key;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T1_A01;T1;Uppsala Sirius U15;Football;Q12_Athlete;"cost_access_barrier; app_preference; practical_system";"equity_and_retention; exchange_modality_preference; circular_exchange_engagement";;Code;Q1_Athlete;Q2_Athlete;Q3_Athlete;Q4_Athlete;Q5_Athlete;Q6_Athlete;Q7_Athlete;Q8_Athlete;Q9_Athlete;Q10_Athlete;Q11_Athlete;Q12_Athlete;Q13_Athlete;Athlete Total;Q1_Coach;Q2_Coach;Q3_Coach;Q4_Coach;Q5_Coach;Q6_Coach;Q7_Coach;Q8_Coach;Q9_Coach;Q10_Coach;Q11_Coach;Q12_Coach;Q13_Coach;Q14_Coach;Q15_Coach;Q16_Coach;Coach Total;Grand Total
