participant_id,session_id,participant_type,team_name,team_code,sport,birth_year,age_2026,gender,location,coach_interviewed,question_key,response_text,Unnamed: 13,adoption_code
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"Yes, I have. I've given away chin pads one time, and I've given away a couple of football shoes to my younger cousins.",,
T1_A02,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,yes,,
T1_A03,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"Yes, I have bought",,
T1_A04,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"Yeah, my chin pads, my old shin pads. Okay.",,
T1_A05,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"Some shoes, Sports shoes.",,
T1_A06,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"Yeah, I sold. Yeah, I sold. Okay.But when it was of good quality",,
T1_A07,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"I've sold a lot of my old stuff, and I still do",,
T1_A08,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q10_Athlete,"I bought a shirt, pants, and Sports equipment",,
T2_A01,T2,athlete,Uppsala Basketball Lions,UBL-P12,Basketball,2012,13,Male,"Uppsala, Sweden",yes,Q10_Athlete,"Yeah, Basketball shoes before",,
T2_A02,T2,athlete,Uppsala Basketball Lions,UBL-P12,Basketball,2012,13,Male,"Uppsala, Sweden",yes,Q10_Athlete,"I personally have not, but I am hoping to start",,
T2_A03,T2,athlete,Uppsala Basketball Lions,UBL-P12,Basketball,2012,13,Male,"Uppsala, Sweden",yes,Q10_Athlete,"Yeah, me too, I sold a pair of basketball shoes.",,
T3_A01,T3,athlete,Uppsala Basketball P10,UBP-P10,Basketball,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,Sometimes we switch shoes,,
T3_A02,T3,athlete,Uppsala Basketball P10,UBP-P10,Basketball,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,I sold some,,
T3_A03,T3,athlete,Uppsala Basketball P10,UBP-P10,Basketball,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,I give away my shoes,,
T3_A04,T3,athlete,Uppsala Basketball P10,UBP-P10,Basketball,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,"No, I have not",,
T3_A05,T3,athlete,Uppsala Basketball P10,UBP-P10,Basketball,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,I have sold stuff to the other teammates,,
T4_A01,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,"Yes, I have, both sell and given away to cousins and family",,
T4_A02,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,"yes to family, like used boots through the platform and got money",,
T4_A03,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,"with family, yes, not with strangers and platforms",,
T4_A04,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,no,,
T4_A05,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,"I give away to people I know, like friends, like shoes in smaller sizes of mine",,
T4_A06,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,Sometimes I buy and give away,,
T4_A07,T4,athlete,IF VP,IFV-P11P12,Football,,13-14,Male,"Uppsala, Sweden",yes,Q10_Athlete,sometimes I buy and give away,,
T5_A01,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,"You can go to blanket, and giveaway, i did not received",,
T5_A02,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,I have given away my older shinpads to my sister,,
T5_A03,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,I gave shoes,,
T5_A04,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,Backpack to my cousin,,
T5_A05,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,Shoes,,
T5_A06,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,Shoes,,
T5_A07,T5,athlete,Uppsala IF U15,UIF-U15,Football,2010,15,Male,"Uppsala, Sweden",yes,Q10_Athlete,Shinpad and shoes,,
T6_A01,T6,athlete,Uppsala IF U16,UIF-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,I bought shorts,,
T6_A02,T6,athlete,Uppsala IF U16,UIF-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,I bought shorts too,,
T6_A03,T6,athlete,Uppsala IF U16,UIF-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,I did with my tee shirts,,
T8_A01,T8,athlete,Rasbo IP U16,RIP-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,I sold my old football shoes,,
T8_A02,T8,athlete,Rasbo IP U16,RIP-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,"I did not yet, but I am motivated to do that",,
T8_A03,T8,athlete,Rasbo IP U16,RIP-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,Haven’t done it yet. But I am too motivated to do that,,
T8_A04,T8,athlete,Rasbo IP U16,RIP-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,Yes I have sold my shoes,,
T8_A05,T8,athlete,Rasbo IP U16,RIP-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,Yes I sold my sport shoes,,
T8_A06,T8,athlete,Rasbo IP U16,RIP-U16,Football,2009,16,Male,"Uppsala, Sweden",yes,Q10_Athlete,Yes some sport equipments,,
